ma,fa
0.22981668794359855,999.9999999999999
0.22981668794359753,1832.9807108324355
0.2297937805316686,3359.8182862837816
0.23415598274455587,3552.5926200722943
0.3151095943797319,6158.482110660267
0.3195387788967637,11288.378916846883
0.32096360143426794,11442.715704578428
0.43995302720084234,14780.67801066182
0.5352351961470149,20691.3808111479
0.6030548799871476,25559.263826313327
0.7661578318354646,37926.901907322535
0.8137793745775331,69519.27961775605
0.8167592996510841,127427.4985703132
0.6030548799871476,190937.82690955678
0.43995302720084234,201587.44389524544
0.32096360143426794,205597.5807056252
0.23415598274455585,208607.95530642272
0.17082629933755134,209389.8489835174
0.12462472324355406,209373.08421800024
0.09973953444193254,127427.49857031321
0.09913020525391238,69519.27961775605
0.09091879706907821,60135.97168241514
0.06632895500464654,60134.50719235992
0.048389666535796245,60133.727468229
0.035302227018072674,60133.313118413
0.025754408361413884,60133.09012818309
0.018788886879768225,60132.974693297845
0.013707256063767187,60132.91297428932
0.01,60132.878097406225
nan,nan
2.45401955020451,1000.0
2.45401955020451,1832.9807108324358
2.45401955020451,3359.818286283781
2.45401955020451,6158.482110660267
2.45401955020451,11288.378916846883
2.45401955020451,20691.3808111479
2.45401955020451,37926.901907322535
2.454019550204375,69519.27961775605
2.4539314515844928,127427.49857031321
2.4346396172762503,233572.14690901214
2.3976264378521686,428133.2398719396
2.3890378888878097,784759.9703514606
2.422869071552592,1438449.888287663
2.4430625187871153,2636650.8987303553
2.45043872699308,4832930.238571752
2.4527623224557504,8858667.904100832
2.453552658871646,16237767.391887208
2.453860519244474,29763514.416313194
2.453968500093068,54555947.811685145
2.4540035460607683,100000000.0
nan,nan
1.6094189348961172,100000000.0
1.6094659243585523,54555947.811685145
1.6096167971681155,29763514.416313194
1.6100988785042727,16237767.391887208
1.6116188287764,8858667.904100832
1.6162827885997153,4832930.238571753
1.6292778550158085,2636650.898730356
1.6576919779384165,1438449.888287663
1.6824415572927671,784759.9703514606
1.6405810389485662,428133.2398719396
1.6149069274421646,233572.14690901214
1.6094211924604214,127427.49857031321
1.6093977937046096,69519.27961775605
1.6093977937045738,37926.901907322535
1.6093977937045738,20691.3808111479
1.6093977937045738,11288.378916846883
1.6093977937045738,6158.482110660267
1.6093977937045738,3359.818286283781
1.6093977937045738,1832.9807108324355
1.6093977937045738,1000.0
