ma,fa
0.22031672093063026,1000.0
0.22031672093062943,1832.9807108324355
0.2202975025884425,3359.818286283781
0.23415598274455587,3972.2519033048966
0.30207261228336413,6158.482110660268
0.3057885093005092,11288.378916846883
0.32096360143426794,12932.145008276791
0.4352479928889438,20691.3808111479
0.4399530272008423,21372.901186748648
0.6030548799871476,34265.601726986184
0.6513396747963197,37926.901907322535
0.7788992977713124,69519.27961775605
0.7326351347951885,127427.49857031321
0.6030548799871476,165937.15851128785
0.4399530272008424,182267.67255779335
0.32096360143426794,188791.34027560308
0.23415598274455587,193419.7028436296
0.17082629933755134,194824.5990364685
0.12462472324355404,194849.97781070851
0.1041499031283597,127427.49857031321
0.10323590934632947,69519.27961775605
0.09091879706907821,55444.317714744684
0.06632895500464654,55442.12097966184
0.048389666535796245,55440.95139346548
0.035302227018072674,55440.32986874148
0.025754408361413884,55439.9953833966
0.018788886879768225,55439.82223106875
0.013707256063767185,55439.72965255595
0.01,55439.67733723132
nan,nan
2.1414586708047496,1000.0
2.1414586708047496,1832.9807108324355
2.1414586708047496,3359.818286283781
2.1414586708047496,6158.482110660267
2.1414586708047496,11288.378916846883
2.1414586708047496,20691.3808111479
2.1414586708047496,37926.901907322535
2.1414586708045227,69519.27961775605
2.1413112452363077,127427.49857031321
2.1289180277662854,169202.27334397717
2.1091088851798085,127427.49857031321
2.1088777715483227,69519.27961775605
2.108877771547968,37926.901907322535
2.108877771547968,20691.3808111479
2.108877771547968,11288.378916846883
2.108877771547968,6158.482110660267
2.108877771547968,3359.818286283781
2.108877771547968,1832.9807108324355
2.108877771547968,1000.0
nan,nan
2.108906354696754,100000000.0
2.1089698982264236,54555947.811685145
2.10917407185217,29763514.416313194
2.109827937501895,16237767.391887208
2.111908227658481,8858667.904100832
2.1184370685128155,4832930.238571752
2.1289180277662854,3657070.177811166
2.135491601118796,4832930.238571752
2.139566655735316,8858667.904100832
2.140863046410188,16237767.391887208
2.141272418336433,29763514.416313194
2.1414006972683057,54555947.811685145
2.1414406773744035,100000000.0
