ma,fa
2.766580429604271,999.9999999999999
2.766580429604271,1832.9807108324353
2.766580429604271,3359.8182862837807
2.766580429604271,6158.482110660266
2.766580429604271,11288.378916846883
2.766580429604271,20691.3808111479
2.766580429604271,37926.901907322535
2.766580429604227,69519.27961775605
2.766551657932678,127427.49857031323
2.7602512377780135,233572.14690901214
2.748163295392357,428133.2398719395
2.7453584057105482,784759.9703514606
2.7564071562705834,1438449.888287663
2.7630020273272895,2636650.8987303553
2.7653858528673636,4832930.238571752
2.7659579891761847,8858667.904100832
2.766242271333103,16237767.391887208
2.766448620152514,29763514.416313194
2.7665363029178303,54555947.811685145
2.7665664147471336,100000000.0
nan,nan
0.11322141332396801,100000000.0
0.1132224805963517,54555947.811685145
0.11322591232846624,29763514.416313194
0.11323692563177871,16237767.391887207
0.11327222224426761,8858667.904100832
0.11338548106897292,4832930.238571752
0.11375263463276666,2636650.8987303553
0.11499233116702168,1438449.888287663
0.11985931796510012,784759.9703514606
0.12462472324355404,695922.854808491
0.17082629933755134,698702.1330979607
0.2341559827445559,687814.298516521
0.32096360143426794,690638.5619988033
0.43995302720084234,698796.1123050211
0.6030548799871476,727751.4277937411
0.8266227660488225,710565.682810591
1.0986423130265823,428133.2398719396
1.048874444585847,233572.14690901214
0.8266227660488225,183612.7924021636
0.6030548799871476,215938.49530782574
0.4399530272008423,220907.2152326975
0.32096360143426794,222403.82113564736
0.23415598274455587,223796.2077692158
0.17082629933755134,223955.0989305663
0.12462472324355404,223896.19062529196
0.09532916575550536,127427.49857031321
0.0950245011614953,69519.27961775605
0.09091879706907821,64827.625650085596
0.06632895500464654,64826.893405057985
0.04838966653579624,64826.50354299253
0.035302227018072674,64826.29636808453
0.025754408361413884,64826.18487296957
0.018788886879768225,64826.127155526956
0.013707256063767185,64826.09629602269
0.01,64826.07885758114
